Gene_ID	Tissue	Ribo_TPM	RNA_TPM	TE
ENSG00000101251	Fibroblasts	0.639102417	2.111096875	0.3027347653100951
ENSG00000164305	Fibroblasts	99.4226268	86.05477555	1.1553411901264323
ENSG00000186517	Fibroblasts	0.001037302	0.009241706	0.11224139785446538
ENSG00000116212	Fibroblasts	39.84759126	48.5662223	0.8204795302763337
ENSG00000213931	Fibroblasts	0.013482679	0.125070971	0.10780022648101131
ENSG00000179010	Fibroblasts	551.797109	300.905894	1.833786309948452
ENSG00000060237	Fibroblasts	18.90386905	40.77071774	0.4636628957712335
ENSG00000140505	Fibroblasts	0.002507994	0.008798051	0.28506245303647365
ENSG00000188784	Fibroblasts	0	0	NA
ENSG00000109016	Fibroblasts	27.24625754	22.64831568	1.2030147373855395
ENSG00000090615	Fibroblasts	19.02154966	29.41623815	0.6466343372325465
ENSG00000165699	Fibroblasts	6.363714256	11.80627661	0.5390111096168871
ENSG00000236320	Fibroblasts	0.007306191	0.005908192	1.2366204415834827
ENSG00000196914	Fibroblasts	9.776370412	37.52187548	0.26055121944027093
ENSG00000028528	Fibroblasts	45.22314356	64.98839713	0.6958648859970736
ENSG00000198053	Fibroblasts	24.13253737	48.87469865	0.4937633998076836
ENSG00000078098	Fibroblasts	179.2138011	256.6160893	0.6983732064067427
ENSG00000143919	Fibroblasts	7.089199221	5.690778882	1.245734436005451
ENSG00000102572	Fibroblasts	28.53029168	38.91421449	0.7331586170737582
ENSG00000163527	Fibroblasts	101.4126402	132.6482519	0.7645230053725269
ENSG00000187193	Fibroblasts	60.18277457	8.949175636	6.724951774094335
ENSG00000105329	Fibroblasts	75.59171704	114.6507222	0.6593217695404975
ENSG00000188038	Fibroblasts	0.069444881	0.349159877	0.19889135486205936
ENSG00000227059	Fibroblasts	0	0	NA
ENSG00000268629	Fibroblasts	0	0.001239521	0
ENSG00000198105	Fibroblasts	2.335824636	8.856725507	0.26373456354200636
ENSG00000136274	Fibroblasts	1.717987551	2.400449475	0.7156941101624312
ENSG00000258984	Fibroblasts	56.70987559	91.14816991	0.622172399577474
ENSG00000267740	Fibroblasts	184.2573946	211.1330146	0.8727076385902179
ENSG00000101413	Fibroblasts	18.95481715	11.13917139	1.7016361887578426
ENSG00000163563	Fibroblasts	0.014711365	0.002376373	6.190680082630125
ENSG00000213079	Fibroblasts	14.74218211	21.60698785	0.6822877030497335
ENSG00000198886	Fibroblasts	0.272080669	20.76287403	0.013104191096419228
ENSG00000197283	Fibroblasts	0.878424857	7.094518319	0.12381740627090486
ENSG00000157227	Fibroblasts	736.0424116	601.5342773	1.2236084282740176
ENSG00000242019	Fibroblasts	0.001686905	0	Inf
ENSG00000205832	Fibroblasts	0.008947197	0.021975592	0.4071424788010262
ENSG00000102024	Fibroblasts	433.8951324	519.4696186	0.8352656572474285
ENSG00000204219	Fibroblasts	2.519299843	1.873891571	1.344421353929021
ENSG00000148773	Fibroblasts	0.370366947	0.575798598	0.6432230788446622
ENSG00000149503	Fibroblasts	4.213710621	3.520339954	1.1969612810297352
ENSG00000173198	Fibroblasts	0.019044302	0.013562594	1.4041784337126066
ENSG00000164053	Fibroblasts	3.56746785	4.410569616	0.8088451516689539
ENSG00000146243	Fibroblasts	3.256637227	3.848478496	0.8462142195636164
ENSG00000165124	Fibroblasts	36.19818487	43.11825014	0.8395095986610925
ENSG00000279230	Fibroblasts	0	0	NA
ENSG00000211678	Fibroblasts	0	0	NA
ENSG00000143401	Fibroblasts	46.16613162	42.71803493	1.0807175867441055
ENSG00000175782	Fibroblasts	8.936674949	12.29997957	0.7265601457417705
ENSG00000283586	Fibroblasts	0	0.0025578	0
ENSG00000169136	Fibroblasts	30.96059459	95.39515298	0.324551024059797
ENSG00000103160	Fibroblasts	22.00593624	18.37317721	1.197720785494998
ENSG00000099399	Fibroblasts	0	0	NA
ENSG00000130768	Fibroblasts	0.485413356	0.415728956	1.167619789274433
ENSG00000258484	Fibroblasts	4.496744827	5.932700813	0.7579591435230528
ENSG00000097033	Fibroblasts	135.6871133	193.9437305	0.6996210341535118
ENSG00000114648	Fibroblasts	13.54025207	9.930616726	1.3634855159145731
ENSG00000187151	Fibroblasts	0.13676169	0.141435566	0.9669540262595617
ENSG00000159259	Fibroblasts	1.228787314	1.425773688	0.8618389610792144
ENSG00000087111	Fibroblasts	63.73273483	64.87173117	0.9824423316680851
ENSG00000204271	Fibroblasts	5.934412672	6.781909993	0.8750355988394491
ENSG00000141576	Fibroblasts	0.064328871	0.067929846	0.9469897959138608
ENSG00000108813	Fibroblasts	0.014220933	0.142912204	0.09950817776206153
ENSG00000169129	Fibroblasts	0.343939728	0.402435962	0.8546446154829473
ENSG00000151835	Fibroblasts	5.145723005	13.51323431	0.38079136992334145
ENSG00000204195	Fibroblasts	0	0	NA
ENSG00000112164	Fibroblasts	0	0.0011275	0
ENSG00000100731	Fibroblasts	7.69147284	21.85129075	0.35199169367145966
ENSG00000135930	Fibroblasts	53.86023658	82.48643668	0.6529587014280516
ENSG00000137713	Fibroblasts	19.87167257	16.91023188	1.1751271485225783
ENSG00000149809	Fibroblasts	6.705366063	8.804446169	0.7615886262794412
ENSG00000141194	Fibroblasts	0	0	NA
ENSG00000177283	Fibroblasts	18.64494897	9.836284863	1.8955275522910608
ENSG00000214517	Fibroblasts	155.9840532	110.0848177	1.4169442840436297
ENSG00000149231	Fibroblasts	15.49981842	32.12401074	0.4824994782080564
ENSG00000174576	Fibroblasts	0	0.117259587	0
ENSG00000198648	Fibroblasts	36.107227	40.40780566	0.8935705963301745
ENSG00000076554	Fibroblasts	2.906887442	1.450240307	2.004417769916527
ENSG00000166349	Fibroblasts	0.075508472	0.305524952	0.24714338879922315
ENSG00000085760	Fibroblasts	7.499489485	28.19690371	0.2659685461258753
ENSG00000186648	Fibroblasts	0.014170799	0.085780978	0.16519745205050007
ENSG00000149507	Fibroblasts	0.034135893	0.001272963	26.816092062377304
ENSG00000275464	Fibroblasts	0.44525508	0.316119964	1.4085003502024949
ENSG00000169641	Fibroblasts	26.07576526	27.18141242	0.9593234103174687
ENSG00000244682	Fibroblasts	0	0	NA
ENSG00000196236	Fibroblasts	13.49834086	3.586734969	3.763406266887739
ENSG00000128829	Fibroblasts	9.041806939	44.94215704	0.2011876495147417
ENSG00000078579	Fibroblasts	0.003197505	0.005716581	0.5593387026266224
ENSG00000256618	Fibroblasts	0.095731463	0.018213471	5.256080128823331
ENSG00000186766	Fibroblasts	0	0	NA
ENSG00000172508	Fibroblasts	0.431401097	0.85703317	0.5033656947023416
ENSG00000007264	Fibroblasts	0.036006557	0.030978271	1.1623165476213957
ENSG00000129347	Fibroblasts	9.084494485	11.82579367	0.768193217174573
ENSG00000095596	Fibroblasts	1.259461003	0.871523691	1.445125377549834
ENSG00000149428	Fibroblasts	127.8059623	119.3330001	1.0710026748083072
ENSG00000133193	Fibroblasts	28.74947084	22.47120896	1.279391371028397
ENSG00000115808	Fibroblasts	12.97683434	13.45827827	0.964226930046974
ENSG00000229859	Fibroblasts	0	0	NA
